Breed;Sex;Age;GLl;GLm;Dl;Bd
O. orientalis;f;adult/adult;32.2;30.5;18.1;20
O. orientalis;m;adult/adult;33;30.8;18.2;21
O. orientalis;f;adult/adult;32.4;30.9;18.4;21
O. orientalis;f;adult/adult;32.7;30.8;17.8;20.5
O. orientalis;m;adult/adult;35;33.6;19.5;21.8
O. orientalis;m;adult/adult;31.5;30.4;18.1;20.4
O. orientalis;m;adult/adult;32.4;30.5;18.8;21.8
O. orientalis;m;(sub)adult/adult;31.7;29.7;17.6;20.2
O. orientalis;f;(sub)adult/subadult;30.6;29.1;16.4;18.8
O. orientalis;m;(sub)adult/adult;32.3;30.5;18.1;20.2
O. orientalis;m;adult/adult;31.2;29;17.1;19.8
O. orientalis;m;adult/adult;32.8;30.9;17.7;20.8
O. orientalis;m;adult/adult;32;30;18.2;21.5
O. orientalis;m;(sub)adult/adult;30.4;29;17.8;19.5
O. orientalis;f;adult/adult;31.5;29.3;18;19.4
O. orientalis;m;adult/adult;32.3;30.7;18.1;21.3
O. orientalis;f;adult/adult;30.8;29.7;16.9;19.3
O. orientalis;f;adult/adult;31.9;30.9;17.6;19.4
O. orientalis;f;juvenil/infantil;30.3;28.3;16.8;18
O. orientalis;f;adult/adult;30.8;29.2;17.2;20
O. orientalis;f;adult/adult;30.6;29;17.3;19.5
O. orientalis;f;juvenil/infantil;28.7;27.4;16.1;17.9
O. orientalis;f;adult/adult;30.2;27.8;16.7;19.1
O. orientalis;f;adult/adult;31.5;29.1;17.5;19.9
O. orientalis;m;subadult;28.8;26.8;16;18.6
O. orientalis;f;adult/adult;27.9;27.2;15.2;17.3
O. orientalis;f;adult/adult;29.1;27.9;16;17.1
O. orientalis;f;juvenil/subadult;28.7;26.8;15.8;17.6
O. orientalis;m;(sub)adult/adult;26.6;25.4;15.9;16.7
O. orientalis;m;adult/adult;27.4;25.9;15.5;17.3
O. orientalis;m;adult/adult;26.1;24.6;15.3;16.8
O. orientalis;m;(sub)adult/adult;30.1;27.7;16.5;18.4
O. orientalis;f;adult/adult;26.2;25.2;14.8;16.7
O. orientalis;f;juvenil/juvenil;24.4;23.3;14.3;15.5
O. orientalis;m;adult/adult;30.6;28.6;17;19.4
O. orientalis;m;(sub)adult/adult;31.7;29.9;17.5;19.8
O. orientalis;f;adult/adult;32.8;31.5;18.2;20.7
O. orientalis;f;adult/adult;30.6;29.3;17.5;19.6
O. orientalis;m;adult/adult;31.1;29.5;17.9;20.6
O. orientalis;f;(sub)adult;31.1;29.8;16.8;19
