Breed;Sex;Age;GLl;GLm;Dl;Bd
Karakul;f;fast 7 J;35.6;33.6;19.3;22.4
Karakul;f;;33.1;32;18.9;21.6
Karakul;m;7J,1M,18T;33;31.1;17.6;21.8
Karakul;m;8J, 3M, 20T;34.5;33.3;18.6;22.8
Karakul;f;10J, 0M, 12T;31.5;30.7;17.6;20.9
Karakul;m;9J, 10M, 0T;37.1;35.7;20;23
Karakul;m;adult;34.9;32.6;19;22.2
Karakul;m;???? > 1.5 J.;33.5;31.2;18.1;21.5
Karakul;m;5J, 11M, 2T;33;31.7;18.1;21.4
Karakul;m;11J, 1M, 8T;32.6;32.1;18.5;21.8
Karakul;m;1J, 7M, 12T;33.5;32.1;17.7;21.5
Karakul;m;adult;35.3;33.8;19.4;23.7
Karakul;m;?;34.5;32.7;18.9;22.8
Karakul;m;>18;36.8;35.7;20.9;24.1
Karakul;m;2J, 5M, 18T;34.1;32.8;18.2;21.7
Karakul;m;adult;33.6;32.6;18.9;23.2
Karakul;m;adult;34.1;32.3;19;24.8
Karakul;m;adult;35.6;33.9;20.1;22.5
Karakul;m;7J, 2M, 6T;32.6;31.1;18.2;20.4
Karakul;m;11J, 11M, 7T;31.3;30.3;17.8;20.7
Karakul;m;10J, 11M, 26T;37.1;35.3;19.9;23.7
Karakul;m;6J, 6M, 28T;33.6;31.8;18.8;23
Karakul;m;4J, 8M, 21T;33.3;31.4;19.1;22.4
Karakul;f;7J, 0M, 15T;35;32.7;19.2;23.1
Karakul;f;5J, 8M, 1T;30.5;29.2;17;19.7
Karakul;f;10J, 1M, 23T;32.3;29.9;17.4;20.3
Karakul;f;16J, 9M, 30T;32.2;31.1;17.1;21.4
Karakul;f;10J, 9M, 6T;32.8;31.2;18.2;21
Karakul;f;4J, 9M, 27T;32;30.8;17.8;20.4
Karakul;f;8J, 3M, 28T;33.2;32;18.6;20.8
Karakul;f;adult;32.8;31.6;18;20.5
Karakul;f;9J, 7M, 22T;33;31.2;18.3;21.7
Karakul;f;>2J, adult;32.8;30.8;17.7;20.3
Karakul;f;7J, 7M, 5T;32.5;30.9;17.5;21.7
Karakul;f;9J, 1M, 21T;33;31;18;21.6
Karakul;f;>3J, adult;31.5;30.6;17.3;19
Karakul;f;6J, 8M, 12T;33.7;32;18.3;20.3
Karakul;f;3J, 11M, 18T;32.7;31.5;18;21.1
Karakul;f;6J, 6M, 1T;34.2;32.6;18.7;22.5
Karakul;f;>5J adult;31.1;30.7;17.1;20.1
Karakul;f;>7J adult;32.7;31.8;18.2;21.3
Karakul;f;2J, 4M, 21T;34.5;31.8;19.5;22.2
Karakul;f;>5J adult;30.6;29.1;17.3;20.1
