Collection-Nr.;Collection;Breed;Sex;GLl;GLm;Dl;Bd
O kar 53;Halle;Karakul;m;33;31.1;17.6;21.8
O kar 67;Halle;Karakul;m;34.5;33.3;18.6;22.8
O kar 119;Halle;Karakul;f;31.5;30.7;17.6;20.9
O kar 26;Halle;Karakul;m;37.1;35.7;20;23
O kar 97;Halle;Karakul;m;34.9;32.6;19;22.2
O kar 254;Halle;Karakul;m;33.5;31.2;18.1;21.5
O kar 51;Halle;Karakul;m;33;31.7;18.1;21.4
O kar 228;Halle;Karakul;m;32.6;32.1;18.5;21.8
O kar 153;Halle;Karakul;m;33.5;32.1;17.7;21.5
O kar 38;Halle;Karakul;m;35.3;33.8;19.4;23.7
O kar 187;Halle;Karakul;m;34.5;32.7;18.9;22.8
O kar 193;Halle;Karakul;m;36.8;35.7;20.9;24.1
O kar 151;Halle;Karakul;m;34.1;32.8;18.2;21.7
O kar 75;Halle;Karakul;m;33.6;32.6;18.9;23.2
O kar 63;Halle;Karakul;m;34.1;32.3;19;24.8
O kar 82;Halle;Karakul;m;35.6;33.9;20.1;22.5
O kar 71;Halle;Karakul;m;32.6;31.1;18.2;20.4
O kar 242;Halle;Karakul;m;31.3;30.3;17.8;20.7
O kar 49;Halle;Karakul;m;37.1;35.3;19.9;23.7
O kar 168;Halle;Karakul;m;33.6;31.8;18.8;23
O kar 78;Halle;Karakul;m;33.3;31.4;19.1;22.4
O kar 171;Halle;Karakul;f;35;32.7;19.2;23.1
O kar 250;Halle;Karakul;f;30.5;29.2;17;19.7
O kar 32;Halle;Karakul;f;32.3;29.9;17.4;20.3
O kar 208;Halle;Karakul;f;32.2;31.1;17.1;21.4
O kar 114;Halle;Karakul;f;32.8;31.2;18.2;21
O kar 183;Halle;Karakul;f;32;30.8;17.8;20.4
O kar 166;Halle;Karakul;f;33.2;32;18.6;20.8
O kar 26;Halle;Karakul;f;32.8;31.6;18;20.5
O kar 174;Halle;Karakul;f;33;31.2;18.3;21.7
O kar 86;Halle;Karakul;f;32.8;30.8;17.7;20.3
O kar 181;Halle;Karakul;f;32.5;30.9;17.5;21.7
O kar 94;Halle;Karakul;f;33;31;18;21.6
O kar 58;Halle;Karakul;f;31.5;30.6;17.3;19
O kar 85;Halle;Karakul;f;33.7;32;18.3;20.3
O kar 259;Halle;Karakul;f;32.7;31.5;18;21.1
O kar 37;Halle;Karakul;f;34.2;32.6;18.7;22.5
O kar 105;Halle;Karakul;f;31.1;30.7;17.1;20.1
O kar 74;Halle;Karakul;f;32.7;31.8;18.2;21.3
O kar 236;Halle;Karakul;f;34.5;31.8;19.5;22.2
O kar 103;Halle;Karakul;f;30.6;29.1;17.3;20.1
O kar 249;Halle;Karakul;f;35.6;33.6;19.3;22.4
O kar 264;Halle;Karakul;f;33.1;32;18.9;21.6
