Context;Layer;Finding;Species;Bone;Dating;GLl;Bd;GLm;Dl
EZ Wall-10;;3B6103;Ovis;Talus;;31.2;19.7;31;18
EZ Wall-10;;3B6103;Ovis;Talus;;30.1;19.25;29.15;17
EZ Wall-11;;3B6103;Ovis;Talus;;32.5;20.8;31;18
EZ Wall-13;;UB6103;Ovis;Talus;;30.6;20;28.5;18
EZ Wall-8;;2B6103;Ovis;Talus;;32;22.2;30.3;17.7
HD 03-81;;2B4122;Ovis;Talus;;31.5;21;30.5;18
HD 04-47;;B4003;Ovis;Talus;;30.6;20.2;30.2;17.7
HD 04-99;;2B4011;Ovis;Talus;;31.5;20.2;30;
HD 05-62;;2B4011a;Ovis;Talus;;32.7;20.5;30.2;17.8
HD 11-46;;3 ;Ovis;Talus;;28.5;19.5;28;15.5
HD 11-47;;3 ;Ovis;Talus;;29;18;27.5;16
HD 11-66;;3 ;Ovis;Talus;;29.5;19;28;16
HD 12-24;;1 ;Ovis;Talus;;28.5;19;27.5;17
HD 13-11;;2B4031;Ovis;Talus;;31.8;21.5;31.2;17.7
HD 15-40;;7B6011;Ovis;Talus;;31;20.8;29.5;17
HD 15-9;;7B6013;Ovis;Talus;;38.8;22;32.5;18.8
HD 15-9;;7B6013;Ovis;Talus;;29.3;19.2;28.3;16
HD 15-9;;7B6013;Ovis;Talus;;32.2;22.6;31;19.2
HD 16-22;;7/886011;Ovis;Talus;;34.5;23.5;32.5;19.5
HD 1-8;;0 ;Ovis;Talus;;32;20;30;17.5
HD 2-09;;3 ;Ovis;Talus;;32;21.2;30.5;18
HD 23-85;;2B4025;Ovis;Talus;;34;22;33;
HD 2-39;;0-6;Ovis;Talus;;33;20;31;17.5
HD 2-42;;2 ;Ovis;Talus;;32;20;30.5;
HD 2-87;;0B ;Ovis;Talus;;33;21.8;31;19
HD 44-1;;0B4130;Ovis;Talus;;34;21.5;32;18.8
HD 44-14;;0B4003;Ovis;Talus;;32.8;22;;19.5
HD 44-2;;0B4130;Ovis;Talus;;29.5;19.3;28;16.5
HD 44-4;;0B4003;Ovis;Talus;;30;18.5;27.8;16
IC 79-74;;0 ;Ovis;Talus;;35;22.2;32.5;19.5
IC 79-77;;0 ;Ovis;Talus;;33;21;31.2;18.3
IC 79-94;;0 ;Ovis;Talus;;34.5;22.2;32.5;20.5
